name;zone;lines;is_railstation;latitude;longitude;linked_station;linked_lines
Plaistow;3.0;District,Hammersmith & City;FALSE;51.5313;0.0172;;
Parsons Green;2.0;District;FALSE;51.4753;-0.2011;;
Park Royal;3.0;Piccadilly;FALSE;51.527;-0.2841;;
Picadilly Circus;1.0;Bakerloo,Piccadilly;FALSE;51.5098;-0.1342;;
Northwick Park;4.0;Metropolitan;FALSE;51.5784;-0.3184;;
Oval;2.0;Northern;FALSE;51.4819;-0.113;;
Osterley;4.0;Piccadilly;FALSE;51.4813;-0.3522;;
Paddington;1.0;Bakerloo,Circle,District,Hammersmith & City;TRUE;51.5154;-0.1755;;
Oxford Circus;1.0;Bakerloo,Central,Victoria;FALSE;51.515;-0.1415;;
Harrow-on-the-Hill;5.0;Metropolitan;TRUE;51.5793;-0.3366;;
Harrow & Wealdston;5.0;Bakerloo,Overground;TRUE;51.5925;-0.3351;;
Heathrow Terminals 1,2,3;6.0;Piccadilly;FALSE;51.4713;-0.4524;;
Euston;1.0;Northern,Victoria,Overground;TRUE;51.5282;-0.1337;;
Hampstead;2.5;Northern;FALSE;51.5568;-0.178;;
Hammersmith (Circle);2.0;Circle,Hammersmith & City;FALSE;51.4927;-0.2244;;
Hammersmith (District);2.0;District,Piccadilly;FALSE;51.4942;-0.2250;;
Harlesden;3.0;Bakerloo,Overground;FALSE;51.5362;-0.2575;;
Hanger Lane;3.0;Central;FALSE;51.5302;-0.2933;;
Edgware Road (Bakerloo);1.0;Bakerloo;FALSE;51.5199;-0.1679;;
Edgware Road (Circle);1.0;Circle,District,Hammersmith & City;FALSE;51.5203;-0.17;;
East Putney;2.5;District;FALSE;51.4586;-0.2112;;
Edgware;5.0;Northern;FALSE;51.6137;-0.275;;
Hendon Central;3.5;Northern;FALSE;51.5829;-0.2259;;
Embankment;1.0;Bakerloo,Circle,District,Northern;FALSE;51.5074;-0.1223;;
Elephant & Castle;1.5;Bakerloo,Northern;TRUE;51.4943;-0.1001;;
Elm Park;6.0;District;FALSE;51.5496;0.1977;;
West Silvertown;3.0;DLR;FALSE;51.5027;0.0226;;
Pimlico;1.0;Victoria;FALSE;51.4893;-0.1334;;
Theydon Bois;6.0;Central;FALSE;51.6717;0.1033;;
Queen's Park;2.0;Bakerloo,Overground;FALSE;51.5341;-0.2047;;
Shepherd's Bush;2.0;Central,Overground;TRUE;51.5046;-0.2187;;
Tooting Bec;3.0;Northern;FALSE;51.4361;-0.1598;;
Aldgate East;1.0;District,Hammersmith & City;FALSE;51.5154;-0.0726;;
Swiss Cottage;2.0;Jubilee;FALSE;51.5432;-0.1738;;
Angel;1.0;Northern;FALSE;51.5322;-0.1058;;
Stratford;3.0;Central,Jubilee,DLR,Overground;TRUE;51.5416;-0.0042;;
Temple;1.0;Circle,District;FALSE;51.5111;-0.1141;;
Debden;6.0;Central;FALSE;51.6455;0.0838;;
Wimbledon Park;3.0;District;FALSE;51.4343;-0.1992;;
Woodford;4.0;Central;FALSE;51.607;0.0341;;
Woodside Park;4.0;Northern;FALSE;51.6179;-0.1856;;
Wood Green;3.0;Piccadilly;FALSE;51.5975;-0.1097;;
Shadwell;2.0;Overground,DLR;FALSE;51.5117;-0.056;;
Pontoon Dock;3.0;DLR;FALSE;51.5021;0.0319;;
London City Airport;3.0;DLR;FALSE;51.5037;0.0488;;
King George V;3.0;DLR;FALSE;51.502;0.0627;;
Stockwell;2.0;Northern,Victoria;FALSE;51.4723;-0.123;;
Stepney Green;2.0;District,Hammersmith & City;FALSE;51.5221;-0.047;;
Gunnersbury;3.0;District,Overground;FALSE;51.4915;-0.2754;;
Hainault;4.0;Central;FALSE;51.603;0.0933;;
South Woodford;4.0;Central;FALSE;51.5917;0.0275;;
South Wimbledon;3.5;Northern;FALSE;51.4154;-0.1919;;
Stanmore;5.0;Jubilee;FALSE;51.6194;-0.3028;;
Stamford Brook;2.0;District;FALSE;51.495;-0.2459;;
Goodge Street;1.0;Northern;FALSE;51.5205;-0.1347;;
Grange Hill;4.0;Central;FALSE;51.6132;0.0923;;
Golders Green;3.0;Northern;FALSE;51.5724;-0.1941;;
Goldhawk Road;2.0;Circle,Hammersmith & City;FALSE;51.5018;-0.2267;;
St. John's Wood;2.0;Jubilee;FALSE;51.5347;-0.174;;
Green Park;1.0;Jubilee,Piccadilly,Victoria;FALSE;51.5067;-0.1428;;
Great Portland Street;1.0;Circle,Hammersmith & City,Metropolitan;FALSE;51.5238;-0.1439;;
Greenford;4.0;Central;TRUE;51.5423;-0.3456;;
Caledonian Road;2.0;Piccadilly;FALSE;51.5481;-0.1188;;
Burnt Oak;4.0;Northern;FALSE;51.6028;-0.2641;;
Bow Road;2.0;Hammersmith & City,District;FALSE;51.5269;-0.0247;Bow Church;DLR
Bow Church;2.0;DLR;FALSE;51.5273;-0.0208;Bow Road;Hammersmith & City,District
Bounds Green;3.5;Piccadilly;FALSE;51.6071;-0.1243;;
Boston Manor;4.0;Piccadilly;FALSE;51.4956;-0.325;;
Buckhurst Hill;5.0;Central;FALSE;51.6266;0.0471;;
Bromley-By-Bow;2.5;Hammersmith & City,District;FALSE;51.5248;-0.0119;;
Brixton;2.0;Victoria;TRUE;51.4627;-0.1145;;
Brent Cross;3.0;Northern;FALSE;51.5766;-0.2136;;
Stonebridge Park;3.0;Bakerloo,Overground;FALSE;51.5439;-0.2759;;
Epping;6.0;Central;FALSE;51.6937;0.1139;;
Wembley Park;4.0;Jubilee,Metropolitan;FALSE;51.5635;-0.2795;;
Sudbury Town;4.0;Piccadilly;FALSE;51.5507;-0.3156;;
Putney Bridge;2.0;District;FALSE;51.4682;-0.2089;;
Russell Square;1.0;Piccadilly;FALSE;51.523;-0.1244;;
Elverson Road;2.5;DLR;FALSE;51.4693;-0.0174;;
Covent Garden;1.0;Piccadilly;FALSE;51.5129;-0.1243;;
Crossharbour;2.0;DLR;FALSE;51.4957;-0.0144;;
Tooting Broadway;3.0;Northern;FALSE;51.4275;-0.168;;
Custom House;3.0;DLR;FALSE;51.5095;0.0276;;
Cutty Sark;2.5;DLR;FALSE;51.4827;-0.0096;;
Cyprus;3.0;DLR;FALSE;51.5085;0.064;;
Dagenham East;5.0;District;FALSE;51.5443;0.1655;;
Dagenham Heathway;5.0;District;FALSE;51.5417;0.1469;;
Northolt;5.0;Central;FALSE;51.5483;-0.3687;;
Northfields;3.0;Piccadilly;FALSE;51.4995;-0.3142;;
St. Paul's;1.0;Central;FALSE;51.5146;-0.0973;;
Sudbury Hill;4.0;Piccadilly;FALSE;51.5569;-0.3366;;
Newbury Park;4.0;Central;FALSE;51.5756;0.0899;;
Neasden;3.0;Jubilee;FALSE;51.5542;-0.2503;;
Mudchute;2.0;DLR;FALSE;51.4902;-0.0145;;
Mornington Crescent;2.0;Northern;FALSE;51.5342;-0.1387;;
Prince Regent;3.0;DLR;FALSE;51.5093;0.0336;;
Ruislip Manor;6.0;Metropolitan,Piccadilly;FALSE;51.5732;-0.4125;;
Deptford Bridge;2.5;DLR;FALSE;51.474;-0.0216;;
North Acton;2.5;Central;FALSE;51.5237;-0.2597;;
St. James's Park;1.0;Circle,District;FALSE;51.4994;-0.1335;;
North Ealing;3.0;Piccadilly;FALSE;51.5175;-0.2887;;
North Greenwich;2.5;Jubilee,Emirates Air Line;FALSE;51.5005;0.0039;;
Northwood Hills;6.0;Metropolitan;FALSE;51.6004;-0.4092;;
Aldgate;1.0;Circle,Metropolitan;FALSE;51.5143;-0.0755;;
Marble Arch;1.0;Central;FALSE;51.5136;-0.1586;;
Oakwood;5.0;Piccadilly;FALSE;51.6476;-0.1318;;
North Harrow;5.0;Metropolitan;FALSE;51.5846;-0.3626;;
North Wembley;4.0;Bakerloo,Overground;FALSE;51.5621;-0.3034;;
Ruislip;6.0;Metropolitan,Piccadilly;FALSE;51.5715;-0.4213;;
Notting Hill Gate;1.5;Central,Circle,District;FALSE;51.5094;-0.1967;;
Old Street;1.0;Northern;TRUE;51.5263;-0.0873;;
Preston Road;4.0;Metropolitan;FALSE;51.572;-0.2954;;
Perivale;4.0;Central;FALSE;51.5366;-0.3232;;
Victoria;1.0;Circle,District,Victoria;TRUE;51.4965;-0.1447;;
Amersham;9.0;Metropolitan;TRUE;51.6736;-0.607;;
Gloucester Road;1.0;Circle,District,Piccadilly;FALSE;51.4945;-0.1829;;
Gants Hill;4.0;Central;FALSE;51.5765;0.0663;;
Moor Park;6.5;Metropolitan;FALSE;51.6294;-0.432;;
Morden;4.0;Northern;FALSE;51.4022;-0.1948;;
Sloane Square;1.0;Circle,District;FALSE;51.4924;-0.1565;;
Fairlop;4.0;Central;FALSE;51.596;0.0912;;
Euston Square;1.0;Circle,Hammersmith & City,Metropolitan;FALSE;51.526;-0.1359;;
Finchley Central;4.0;Northern;FALSE;51.6012;-0.1932;;
Farringdon;1.0;Circle,Hammersmith & City,Metropolitan;TRUE;51.5203;-0.1053;;
Finsbury Park;2.0;Piccadilly,Victoria;TRUE;51.5642;-0.1065;;
Finchley Road;2.0;Jubilee,Metropolitan;FALSE;51.5472;-0.1803;;
Gallions Reach;3.0;DLR;FALSE;51.5096;0.0716;;
Fulham Broadway;2.0;District;FALSE;51.4804;-0.195;;
Baker Street;1.0;Bakerloo,Circle,Hammersmith & City,Jubilee,Metropolitan;FALSE;51.5226;-0.1571;;
Arsenal;2.0;Piccadilly;FALSE;51.5586;-0.1059;;
Bank;1.0;Central,Northern,Waterloo & City,DLR;FALSE;51.5133;-0.0886;Monument;Circle,District
Balham;3.0;Northern;TRUE;51.4431;-0.1525;;
Barking;4.0;District,Hammersmith & City,Overground;TRUE;51.5396;0.081;;
Barbican;1.0;Circle,Hammersmith & City,Metropolitan;FALSE;51.5204;-0.0979;;
Barons Court;2.0;District,Piccadilly;FALSE;51.4905;-0.2139;;
Barkingside;4.0;Central;FALSE;51.5856;0.0887;;
Beckton;3.0;DLR;FALSE;51.5148;0.0613;;
Bayswater;1.0;Circle,District;FALSE;51.5121;-0.1879;;
Vauxhall;1.5;Victoria;TRUE;51.4861;-0.1253;;
Hatton Cross;5.5;Piccadilly;FALSE;51.4669;-0.4227;;
Walthamstow Central;3.0;Victoria;TRUE;51.583;-0.0195;;
Pudding Mill Lane;2.5;DLR;FALSE;51.5343;-0.0139;;
Wanstead;4.0;Central;FALSE;51.5775;0.0288;;
